
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:36:06 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:36:06 Found 1 device usable for the NTP daemon.
2025-07-29 17:36:06 Query-only mode, not updating SHM.
2025-07-29 17:36:06 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:37:56.5819993 1753810676.581999302 1753810676.581997871 +0.000001192, ltcy: 0.18 us, exec: 0.33 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:57.5822833 1753810677.582283258 1753810677.582282782 +0.000000238, ltcy: 0.18 us, exec: 0.30 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:58.5825532 1753810678.582553148 1753810678.582553864 -0.000000954, ltcy: 0.22 us, exec: 0.34 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:59.5827808 1753810679.582780838 1753810679.582781076 -0.000000477, ltcy: 0.26 us, exec: 0.33 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:00.5830164 1753810680.583016396 1753810680.583016872 -0.000000715, ltcy: 0.23 us, exec: 0.58 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:01.5832581 1753810681.583258152 1753810681.583258390 -0.000000477, ltcy: 0.19 us, exec: 0.46 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:02.5835535 1753810682.583553553 1753810682.583554268 -0.000000954, ltcy: 0.16 us, exec: 0.35 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:03.5837652 1753810683.583765268 1753810683.583765268 -0.000000238, ltcy: 0.19 us, exec: 0.34 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:04.5840344 1753810684.584034443 1753810684.584032774 +0.000001431, ltcy: 0.29 us, exec: 0.44 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:05.5842987 1753810685.584298849 1753810685.584296227 +0.000002384, ltcy: 0.17 us, exec: 0.48 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:06.5845269 1753810686.584527016 1753810686.584524155 +0.000002623, ltcy: 0.18 us, exec: 0.34 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:07.5848057 1753810687.584805727 1753810687.584804058 +0.000001431, ltcy: 0.19 us, exec: 0.51 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:08.5851135 1753810688.585113525 1753810688.585112572 +0.000000715, ltcy: 0.18 us, exec: 0.37 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:09.5855543 1753810689.585554361 1753810689.585554361 -0.000000238, ltcy: 0.15 us, exec: 0.35 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:38:10.5858233 1753810690.585823298 1753810690.585822821 +0.000000238, ltcy: 0.20 us, exec: 0.34 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:11.5860860 1753810691.586086035 1753810691.586083889 +0.000001907, ltcy: 0.19 us, exec: 0.45 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:12.5863040 1753810692.586304188 1753810692.586300850 +0.000003099, ltcy: 0.17 us, exec: 0.34 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:13.5865745 1753810693.586574554 1753810693.586571217 +0.000003099, ltcy: 0.16 us, exec: 0.29 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:38:14.5868387 1753810694.586838722 1753810694.586837053 +0.000001431, ltcy: 0.19 us, exec: 0.28 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
