
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:44:10.0472060 1753811050.047206163 1753811050.047203541 +0.000002384, ltcy: 0.22 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:11.0474396 1753811051.047439575 1753811051.047438383 +0.000000954, ltcy: 0.17 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:12.0476973 1753811052.047697306 1753811052.047698021 -0.000000954, ltcy: 0.18 us, exec: 0.40 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:13.0479761 1753811053.047976255 1753811053.047977448 -0.000001431, ltcy: 0.21 us, exec: 0.52 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:14.0482817 1753811054.048281670 1753811054.048282862 -0.000001431, ltcy: 0.18 us, exec: 0.32 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:15.0484970 1753811055.048496962 1753811055.048499107 -0.000002384, ltcy: 0.20 us, exec: 0.50 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:16.0487191 1753811056.048719168 1753811056.048723459 -0.000004530, ltcy: 0.26 us, exec: 0.32 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:17.0490054 1753811057.049005508 1753811057.049009800 -0.000004530, ltcy: 0.26 us, exec: 0.39 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:18.0493501 1753811058.049350023 1753811058.049353123 -0.000003338, ltcy: 0.18 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:19.0496068 1753811059.049606800 1753811059.049608946 -0.000002384, ltcy: 0.19 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
