
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:45:12.1757646 1752072312.175764799 1752072312.175897598 -0.000133038, ltcy: 0.19 us, exec: 0.35 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:13.1760063 1752072313.176006317 1752072313.176129341 -0.000123262, ltcy: 0.16 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:14.1762554 1752072314.176255465 1752072314.176376581 -0.000121355, ltcy: 0.17 us, exec: 0.30 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:15.1764977 1752072315.176497698 1752072315.176626682 -0.000129223, ltcy: 0.18 us, exec: 0.38 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:16.1767510 1752072316.176751137 1752072316.176878929 -0.000128031, ltcy: 0.18 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:17.1770044 1752072317.177004576 1752072317.177123785 -0.000119448, ltcy: 0.16 us, exec: 0.51 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:18.1772549 1752072318.177254915 1752072318.177367210 -0.000112534, ltcy: 0.16 us, exec: 0.35 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:19.1774941 1752072319.177494049 1752072319.177613020 -0.000119209, ltcy: 0.17 us, exec: 0.51 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:20.1777370 1752072320.177736998 1752072320.177856684 -0.000119925, ltcy: 0.18 us, exec: 0.30 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:21.1779363 1752072321.177936316 1752072321.178057671 -0.000121593, ltcy: 0.20 us, exec: 0.30 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:22.1781733 1752072322.178173304 1752072322.178308725 -0.000135660, ltcy: 0.18 us, exec: 0.29 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:23.1784153 1752072323.178415298 1752072323.178554535 -0.000139475, ltcy: 0.18 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:24.1786645 1752072324.178664684 1752072324.178802013 -0.000137568, ltcy: 0.16 us, exec: 0.31 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:25.1789279 1752072325.178927898 1752072325.179067135 -0.000139475, ltcy: 0.16 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:26.1791740 1752072326.179174185 1752072326.179321289 -0.000147343, ltcy: 0.16 us, exec: 0.31 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:27.1794233 1752072327.179423332 1752072327.179566622 -0.000143528, ltcy: 0.18 us, exec: 0.30 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:28.1796710 1752072328.179671049 1752072328.179808140 -0.000137329, ltcy: 0.16 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
